isim,lat,lon
Sefa Kahvaltı Evi,39.9219245,32.8438112
Hanzade Lounge,39.9228904,32.8639093
Simitçi kahvaltı - kafe,39.8966557,32.7059092
Clinic Coffee,39.8825527,32.6851684
Bosco,39.9140996,32.8079705
Klinik Kahve,39.8825829,32.6852058
Ardıç Kitabevi Cafe,39.9192569,32.8557711
Starbucks,39.8884917,32.8105731
Bosco Caffe,39.9285606,32.8194794
Sloth Kafe,39.9008902,32.8532454
Ezgi cafe,39.9183855,32.8561149
Starbucks,39.8548709,32.646551
Masha Meshe,39.8540073,32.6514058
Mabel,39.904708,32.9438922
Köfteci Yusuf,39.9323751,33.3346109
Kayadibi Cennet Bahçesi,39.9302614,33.3377985
Bake & Joy,39.9044636,32.8468159
Solway,39.8918825,32.7887067
Baklava-Börek,40.038977,32.9092984
Fiesta Cafe & Pub,39.9208658,32.8566993
Kahveci Hacıbaba,39.9194736,32.8568534
İnova Cafe,39.8669071,32.6399027
Mado,39.8575147,32.6449557
Arabica,39.8544168,32.6469112
Buna Beti,39.8543126,32.647017
Starbucks,39.8300927,32.7346237
Arabica,39.8301771,32.7345047
OT,39.8299316,32.7351205
Şirinyel Kütüphane Kafe,39.9204598,32.8559029
Arabica,39.9602176,32.711304
Daphne,39.959519,32.7133754
Jojowa,39.9596862,32.713481
Şampion Döner,39.9919284,32.799959
Mado,39.9618619,32.7696045
Starbucks,39.9618981,32.7711859
Demlik,39.9623015,32.7697595
Simitçi Baba,39.9613382,32.781513
Kahvehall,39.958136,32.7909482
Arabica,39.8187037,32.5629712
Caribou Coffee,39.9182914,32.8555088
Grano,39.8921413,32.7884561
Locus Coffee Roastery,39.8500429,32.7063863
Starbucks,39.9602017,32.7113677
Starbucks,39.9234987,32.8259546
Gloria Jean's,39.9248252,32.8258405
Starbucks,39.9320797,32.8260203
Kahve Dünyası,39.91893,32.827284
Colambia Coffee,39.9176594,32.8563272
Carmelo Coffee,39.9180267,32.8555687
Müze'nin Kahvesi,39.9385917,32.8621545
Caffé di Toeé,39.8540812,32.6562444
Arabica,39.8537114,32.6561221
Starbucks,39.862624,32.7364428
Coffee Break,39.8625124,32.7357513
Felicita,39.829401,32.6603645
World of Coffee,39.8508322,32.6015289
Astare Simit Cafe,39.8795553,32.6638835
Waffle's Land,39.8711,32.8258089
seda nakare,39.9167921,32.8556256
Arabica,39.9187959,32.8562405
Botanik Kütüphane Kafe,39.8966946,32.705226
Geyik Cafe Bistro,39.868801,32.7321789
Nico Coffee and Creative,39.8947806,32.8799087
New Jersey Coffee House,39.9044632,32.8587829
Arabica,39.9580811,32.8169605
oskar kafe,39.969701,32.8349871
kırıntı fırın,39.9705019,32.8348984
Mado,39.8835329,32.7582841
Arabica,39.8836303,32.7577152
Çamaltı Pastanesi Cafe-Bistro,39.9714915,32.8617347
Coffee Lab,39.5867463,32.1439811
Fiero Cafe,39.8683962,32.7503884
Gloria Jean's,39.8300281,32.7348289
Harper's Coffee,39.8245682,32.7225486
Starbucks,39.9768228,32.8668944
Starbucks,39.9750654,32.8842572
MackBear Coffee,39.9471026,32.6633569
Thila Coffee,39.8988493,32.7782827
Cafe Bianca,39.9313402,32.842225
3 Cores Roastery Coffee Shop,39.9267296,32.8517242
HYPE COFFEE,39.9171796,32.8578746
Sugar Kafe,39.8838868,32.8175809
Hamur House,39.9582041,32.7905139
Coffy Hacettepe Üniversitesi,39.8706467,32.733803
Starbucks,39.9457357,32.7145768
Veganarsist Kızılay,39.921915,32.860385
Toros Dondurma,39.9826417,32.7647517
Vatan Fırın,39.9786845,32.7374833
Somuncu Dede,39.9870919,32.7426073
Mackbear Coffee,39.9702683,32.7864665
Coffee Bus,39.8992499,32.8680499
Hypatia Kütüphane Kafe,39.9179956,32.8591163
Kocatepe,39.9025461,32.8609269
Mavi Tuna,39.9663515,32.8667276
Mozaic,39.9661994,32.8659174
Arabica,39.9148558,32.8559554
Cafe 12,39.9685285,32.7842442
Catalyst Coffee and Hub,39.8840825,32.8550623
Coffee Project,39.9048606,32.8603949
Arabica,39.9070912,32.8602278
bosco,39.8989497,32.8626401
Kahve Dünyası,39.8988525,32.8626763
the stock,39.8990217,32.8638091
Bunn,39.8684001,32.7317241
Coffy BAM,39.8685353,32.732298
Colombia Coffee Batıkent,39.9684906,32.7170715
Coffee 1919 Kocatepe Batıkent,39.9676361,32.7181969
Coffee Lab,39.9169006,32.8557243
Sun's Fury Coffee,39.8918175,32.8546975
Mirket Kitap & Plak & Atölye,39.8936284,32.8578566
Boston Drink & Dessert,39.8919374,32.9306538
Coffee LAB Bahçeli 71,39.9212036,32.8273697
Tabu Cafe,39.9222374,32.8264313
Coffee LAB Bahçeli 72,39.9202347,32.8276558
Misbaşak,39.7883729,32.8357385
Alyans Garden,39.7881942,32.8358469
Zest Coffee,39.8971738,32.8613878
Fanus Komünite Kafe,39.9207812,32.8404557
Starbucks,39.8667461,32.7492984
Sütlüce Kadayıf Etimesgut,39.9376333,32.6402141
Cadde Gurme,39.9668045,32.790751
PaşaZade Kahve Evi,39.9663095,32.792206
Demirel Kıraathanesi,39.9680966,32.785899
Çalı Kafe,39.9702354,32.7861558
Bi Dem’lik Cafe,39.7918868,32.8407235
Cafe P22,39.8852269,32.8492055
Coffee de Madrid,39.9245463,32.8254947
Coa & Co,39.9676305,32.787173
Coffee de Madrid Aydınlıkevler,39.9627145,32.8745081
Coffee de Madrid Metromall,39.9825767,32.6098926
Coffee de Madrid Kalaba,39.9783095,32.8706192
Vinni the Vegan Witch,39.9014278,32.8550373
Coffee Manja,39.9919236,32.7465906
İvogsan Simitçisi,39.9880321,32.7419061
Cafe Caravana,39.9732619,32.739153
Bob,39.8783122,32.8811234
Stella Simit Coffee,39.9692418,32.7839864
Marrakesh Garden Etlik,39.9712178,32.8381797
caffelab,39.8943718,32.7037612
cups,39.8953474,32.7049467
BelPa Cofee,39.9642505,32.7108646
Starbucks,39.8981073,32.8656077
Majestica Coffee & Chocolate,39.9662587,32.643159
Dab Cafe,39.9437349,32.8531822
Starbucks,39.8998499,32.7594876
Señorita Chocolate & Coffee,39.990319,32.643954
Coffee de Madrid Mamak,39.8912977,32.9350629
Coffy,39.9537737,32.6136414
Colombia Coffee,39.9544507,32.6134444
Ring Music Studio & Living Room,39.8996451,32.8588092
A4 Kahve,39.9027309,32.8595167
Soli Kruvasan,39.8951797,32.8785934
Shelby Coffee & Bakery,39.8971622,32.7992513
Extra Time Coffee,39.8744659,32.859623
Tetra N Roastery,39.8955992,32.7968333
Pangea Coffee House,39.8967018,32.8550453
Caffe Nux,39.897419,32.8554459
Coffee de Madrid Yenikent,39.9958957,32.5253878
Lady Drink & Desert,39.9904881,32.6420737
Starbucks,39.9647948,32.6072687
Arabica,39.9650504,32.6073409
Kahve Dünyası,39.9656541,32.63249
Coffy,39.9791813,32.8684111
Coffy,39.8887103,32.8118053
Coffy,39.9645856,32.6084168
Bear Lounge,39.9640118,32.6112057
Arabica,39.9636239,32.606105
Café Prag Coffee & Dessert,39.9653719,32.6075363
Mackbear,39.9646123,32.6081859
Damla Pastanesi,39.924853,32.8421121
Keyff Bistro Cafe,40.001359,32.8416152
Coffy,39.9225193,32.8557832
Los Tios Coffee,39.9804808,32.6487256
Coffee Lab,39.9896921,32.6435632
Colambia Coffee,39.9897217,32.6436068
New Jersey Coffee House,39.989649,32.6438299
Buddy's Cafe,39.9807656,32.6114202
Coffee de Madrid Cubes,39.9056973,32.8032485
Osman Yazıcı Konukevi Kantini,39.8883122,32.7915334
Faik Hızıroğlu Konukevi Kantini,39.8878507,32.7916137
15. Konukevi Kantini,39.8885788,32.7917146
Haytham Cafe Ve Bistro,39.8864528,32.9324849
Starbucks,40.1156539,32.9925469
Arabica,39.8940953,32.8056676
ROR,39.9059304,32.8623563
Coffy,39.9185351,32.82743
Vişi Kafe,39.9193894,32.8273483
